CountyID,Date,Emp_Count,Total_Wages,Total_Establishments,NAICS_10,NAICS_101,NAICS_1011,NAICS_1012,NAICS_1013,NAICS_102,NAICS_1021,NAICS_1022,NAICS_1023,NAICS_1024,NAICS_1025,NAICS_1026,NAICS_1027,NAICS_1029,Employment,Labor_Force,Unemployment_Count,Unemployment_Rate,Weekly_Wages
3001,1/1/2019,6863,107537,509,12396,1333,253,421,659,4200,2591,41,237,127,308,807,77,12,9043,9506,463,4.9,1198
3001,2/1/2019,6979,107537,509,12616,1367,254,423,690,4270,2624,44,244,132,312,822,78,14,8971,9340,369,4,1198
3001,3/1/2019,6867,107537,509,12388,1349,260,417,672,4172,2522,46,239,126,315,834,75,15,8886,9229,343,3.7,1198
3001,4/1/2019,7027,72482,513,12767,1442,337,461,644,4298,2690,45,230,88,331,820,81,13,8922,9239,317,3.4,784
3001,5/1/2019,7198,72482,513,13097,1522,430,460,632,4377,2733,41,229,100,337,840,83,14,8917,9285,368,4,784
3001,6/1/2019,7109,72482,513,12938,1557,463,465,629,4272,2622,43,227,98,341,845,82,14,8630,9055,425,4.7,784
3001,7/1/2019,7023,77892,517,12761,1405,318,435,652,4333,2686,42,226,102,342,844,76,15,8820,9287,467,5,827
3001,8/1/2019,7410,77892,517,13512,1380,268,451,661,4722,3074,42,227,104,335,842,81,17,9355,9765,410,4.2,827
3001,9/1/2019,7314,77892,517,13317,1403,304,450,649,4600,2960,41,220,109,344,824,82,20,9208,9556,348,3.6,827
3001,10/1/2019,6786,83300,523,12259,1389,311,433,645,4084,2515,41,191,119,331,788,82,17,8701,9008,307,3.4,944
3001,11/1/2019,6844,83300,523,12381,1386,275,463,648,4151,2559,39,197,118,350,785,84,19,8786,9073,287,3.2,944
3001,12/1/2019,6734,83300,523,12163,1369,271,455,643,4060,2468,39,196,121,350,783,85,18,8608,8957,349,3.9,944
3001,1/1/2020,7126,114615,437,12946,1356,266,440,650,4464,2774,39,133,159,431,810,102,16,9232,9620,388,4,1241
3001,2/1/2020,7155,114615,437,12982,1391,260,468,663,4436,2757,39,134,167,427,801,96,15,9223,9574,351,3.7,1241
3001,3/1/2020,7024,114615,437,12723,1402,272,463,667,4297,2624,39,137,165,417,804,95,16,8988,9349,361,3.9,1241
3001,4/1/2020,6583,81410,436,11884,1407,311,456,640,3894,2512,38,131,159,376,574,93,11,8383,9053,670,7.4,925
3001,5/1/2020,6845,81410,436,12421,1463,347,482,634,4113,2588,38,133,152,378,700,104,20,8809,9330,521,5.6,925
3001,6/1/2020,6877,81410,436,12477,1539,381,501,657,4061,2486,37,136,154,402,721,104,21,8541,9012,471,5.2,925
3001,7/1/2020,6777,89030,451,12275,1365,267,468,630,4133,2539,38,129,151,412,745,104,15,8314,8771,457,5.2,1007
3001,8/1/2020,6844,89030,451,12379,1386,249,475,662,4149,2510,39,128,157,420,775,104,16,8407,8835,428,4.8,1007
3001,9/1/2020,6773,89030,451,12224,1384,255,459,670,4067,2417,39,127,156,429,779,105,15,8285,8675,390,4.5,1007
3001,10/1/2020,6855,94586,459,12404,1382,271,456,655,4167,2534,39,130,164,435,739,111,15,8632,8983,351,3.9,1068
3001,11/1/2020,6833,94586,459,12383,1400,264,468,668,4150,2530,40,129,159,437,726,112,17,8798,9151,353,3.9,1068
3001,12/1/2020,6755,94586,459,12218,1377,257,452,668,4086,2423,36,128,163,468,734,117,17,8481,8916,435,4.9,1068
3003,1/1/2019,2479,27527,211,4534,1200,54,12,1134,855,302,0,332,24,101,78,16,2,4347,4504,157,3.5,840
3003,2/1/2019,2553,27527,211,4655,1251,54,12,1185,851,310,0,323,24,103,74,15,2,4348,4513,165,3.7,840
3003,3/1/2019,2530,27527,211,4631,1250,56,15,1179,851,304,0,323,24,104,79,15,2,4349,4502,153,3.4,840
3003,4/1/2019,2542,27102,211,4643,1269,67,17,1185,832,307,0,322,17,100,71,15,2,4593,4724,131,2.8,825
3003,5/1/2019,2526,27102,211,4644,1285,65,14,1206,833,302,0,320,23,100,74,14,2,4523,4662,139,3,825
3003,6/1/2019,2516,27102,211,4627,1285,76,16,1193,826,292,0,322,23,101,74,14,2,4403,4537,134,3,825
3003,7/1/2019,2525,26512,212,4620,1272,74,17,1181,823,287,0,319,23,105,75,14, ,4443,4725,282,6,808
